City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,nanao,37.05,136.9667,23.48,89,66,0.64,JP,1689791514
313,yaren,-0.5472,166.916,27.81,76,88,0.63,NR,1689791206
314,abak,4.9797,7.7917,24.49,93,100,2.69,NG,1689791515
315,susanville,40.4163,-120.653,30.07,24,0,2.06,US,1689791515
316,chernyshevskiy,63.0128,112.4714,12.9,81,99,1.18,RU,1689791515
317,namibe,-15.1961,12.1522,18.15,83,0,2.3,AO,1689791018
318,queenstown,-31.8976,26.8753,3.36,79,31,1.37,ZA,1689791116
319,sao gabriel da cachoeira,-0.1303,-67.0892,26.89,89,40,2.06,BR,1689791133
320,sorong,-0.8833,131.25,26.4,83,100,5.62,ID,1689791517
321,chirala,15.8167,80.35,28.18,66,100,8.09,IN,1689791517
322,yeraliyev,43.2,51.65,24.7,59,0,4.02,KZ,1689791518
323,chui,-33.6971,-53.4616,11.9,68,94,3.89,UY,1689791518
324,moultrie,31.1799,-83.7891,33.93,55,40,2.06,US,1689791519
325,fada,9.5667,8.3,22.02,90,100,1.12,NG,1689791519
326,waghai,20.7667,73.4833,24.88,97,100,1.53,IN,1689791520
327,kencong,-8.2833,113.3667,20.97,88,0,0.51,ID,1689791520
328,tharangambadi,11.0319,79.8528,28.8,61,34,7.45,IN,1689791520
329,chibougamau,49.9168,-74.3659,13.79,77,100,3.66,CA,1689791125
330,pontal,-21.0225,-48.0372,27.15,39,99,2.23,BR,1689791521
331,raja,8.4596,25.678,22.52,91,100,1.52,SS,1689791522
332,champerico,14.3,-91.9167,35.3,66,16,2.69,GT,1689791522
333,kirakira,-10.4544,161.9205,26.44,89,62,3.23,SB,1689791523
334,sisimiut,66.9395,-53.6735,9.04,95,99,2.11,GL,1689791140
335,mayahi,13.9553,7.6712,28.45,58,100,3.39,NE,1689791524
336,cape canaveral,28.4058,-80.6048,33.33,72,20,4.63,US,1689791524
337,vila velha,-20.3297,-40.2925,24.97,85,75,5.66,BR,1689791231
338,yeed,4.55,43.0333,27.48,47,92,7.37,SO,1689791525
339,strezhevoy,60.7333,77.5889,17.97,77,39,2.99,RU,1689791526
340,kodinsk,58.6881,99.1844,14.47,62,5,0.64,RU,1689791173
341,la mira,18.035,-102.3266,32.75,60,39,5.17,MX,1689791527
342,petrolina,-9.3986,-40.5008,31.03,37,20,6.17,BR,1689791528
343,banda aceh,5.5577,95.3222,26.18,84,100,8.34,ID,1689791528
344,pionerskiy,54.9508,20.2275,16.91,68,60,6.42,RU,1689791529
345,kourou,5.1552,-52.6478,30.03,68,31,4.38,GF,1689791127
346,monrovia,6.3005,-10.7969,25.87,90,100,4.05,LR,1689791530
347,tateyama,34.9833,139.8667,25.01,93,96,5.18,JP,1689791530
